Speaker,DialogAct,Text
A,Task,"and I don't think the user would be ready to have a "
C,Minor,"Yeah comm "
D,Task,"Wireless remote control . "
C,Minor,"but "
B,Minor,"Yeah comm "
B,Minor,"but some pa "
A,Task,"I don't think well comm yeah comm I don't think he would comm "
B,Minor,"I always want to have you know comm "
A,Minor,"but in a sense "
B,Task,"sometime I want to have wire "
B,Minor,"because you know . "
C,Minor,"Yeah "
C,Elicit,"but as Industrial Designer comm do you think that it will be feasible to have uh linked or to have link between the remote control and the television ? "
C,Task,"I'm just asking you . "
C,Elicit,"Do you think it will be cheaper ? "
B,Task,"Uh comm I don't think it will be too much . "
D,Minor,"Okay . "
C,Task,"Could you answer please ? "
B,Other,"Have to think about the question comm "
B,Minor,"you know comm "
B,Minor,"'cause it's I think that you know you can always you know "
C,Other,"Okay . "
B,Task,"I think wha wha with the wire it's mm cheaper "
B,Task,"but you know the wireless it's more practical comm so . "
C,Minor,"Yeah comm "
C,Task,"but I think the wireless problem is more the um David Jordan's problem . "
D,Minor,"Mm-hmm . "
C,Minor,"As it's "
A,Other,"The wire ? "
C,Task,"yeah . "
A,Task,"Yeah . True . "
B,Task,"Okay comm yeah . "
C,Task,"I think it's more your problem . "
C,Task,"Mayb maybe you have just to to kind of research "
C,Task,"or try to ask people if they will like something wireless or not . "
D,Minor,"Mm-hmm . "
A,Minor,"Uh "
A,Task,"that's my job . "
A,Minor,"That's the "
C,Other,"Okay comm "
C,Other,"I'm sorry . "
C,Minor,"So "
A,Minor,"Now the "
B,Minor,"Yeah "
B,Task,"but comm it should be an agreement comm "
B,Minor,"you know comm "
B,Task,"because even if you can think of the wireless comm it is it's it is the job of the the the g Graphical User Designer comm "
B,Minor,"but you know . "
B,Task,"If it is a lot cheaper and if you want to reach for example some the the money you have comm if you want to use comm so it can be good to have a wireless comm "
B,Elicit,"it it is a question . "
D,Minor,"Okay . "
C,Minor,"So "
C,Task,"just think of um the usability . "
D,Elicit,"Design a wireless remote control . "
C,Task,"Yeah . "
C,Task,"Just think of the problem . "
C,Elicit,"If when you have wireless remote control and if you lose it ? "
D,Minor,"Yeah . "
A,Minor,"Yeah . "
C,Task,"I think it's would be easier to have a link between the remote control and the television comm "
A,Minor,"Well "
A,Task,"that's actually one of the point comm "
A,Elicit,"yeah ? "
C,Task,"yeah . "
A,Task,"True . "
A,Task,"This you will see in my presentation then . "
C,Task,"So I will let you to do your presentation comm so . "
A,Minor,"Yeah . "
B,Minor,"Okay . "
A,Task,"Which is participant four . "
A,Task,"So just trying to answer all the questions comm "
A,Elicit,"if the user would be happy to have something or something else uh . "
A,Task,"We've made a study comm "
A,Task,"so could you go to next slide . "
A,Other,"Sorry for the functional recurrence . "
A,Task,"So that's the standard method for marketing comm "
A,Elicit,"okay . "
A,Task,"We had one hundred subjects comm "
A,Task,"um comm we observe their remote control use in a lab "
A,Task,"and then after all the experiments they had to fill up a questionnaire comm um comm "
A,Task,"and see what was okay or not for them . "
B,Minor,"Mm-hmm . "
A,Task,"Okay . "
A,Task,"So then it's some statistics about what we observed and what they answered . "
A,Task,"Um actually seventy five percent of the users find m the most remote controls uh ugly comm "
A,Elicit,"okay comm "
A,Minor,"so that's "
C,Elicit,"You mean the loo the look comm the outside ? "
B,Task,"The look comm how it look like . "
C,Other,"Okay . "
A,Task,"Yeah comm the the look is is bad for them "
A,Minor,"so uh "
A,Task,"it's your job comm David comm maybe . "
A,Task,"Then eighty percent of users would spend more money um actually if if the remote controls were not so ugly . "
A,Task,"So this is where we could have uh yeah comm good market comm I guess comm if people are ready to pay more . "
B,Minor,"Yeah . "
A,Minor,"So "
A,Task,"it's it's interesting information comm I think . "
A,Task,"And then um yeah comm the remote controls like the one you've shown previously it's not so doesn't fit the user requirements sometime comm "
A,Task,"because it's too many buttons and so on . "
A,Minor,"So "
A,Task,"we should change this as well . "
A,Task,"And uh users are actually zapping a lot comm "
A,Task,"so they're using the device intensively comm "
A,Task,"that's something to take into account as well . "
A,Minor,"And um comm you know comm "
A,Task,"ten percent of the buttons are actually used in the remote control . "
A,Task,"And uh this is one of the main point for me . "
A,Other,"But I'll come back to it later . "
A,Other,"'Kay . "
A,Task,"Could you go next slide ? "
A,Task,"Uh comm so as you said uh comm "
C,Minor,"Mm-hmm . "
A,Task,"remote controls are often lost somewhere in the room . "
A,Minor,"So "
A,Task,"this is from the experiments we've done comm "
A,Task,"so if we could solve this problem this would be interesting for the user comm I think . "
A,Task,"Um it takes too much time to learn how to use the remote control for thirty five percent of the people . "
A,Task,"And uh remote control are really bad for R_S_I_ problems for twenty six percent of the users . "
C,Elicit,"What is R_S_I_ ? "
A,Task,"R_S_I_ is like comm when you're using the same um doing the same movement several times comm then you get injured . "
B,Minor,"Yeah . "
C,Other,"Ah um okay . "
A,Elicit,"Okay ? "
A,Minor,"So comm "
A,Task,"those numbers are less important then the previous one comm "
A,Task,"but still it has to be taken to count . "
A,Minor,"So "
A,Task,"last slide . "
A,Task,"Um so my pres personal preferences for this problem is we have to meet the user needs . "
A,Task,"If we can make it look fancy then we might sell more than our uh concurrent comm "
A,Elicit,"okay . "
B,Other,"Okay . "
C,Other,"Mm-hmm . "
A,Task,"And definitely if it could have less buttons comm still maybe the same number of um functions comm but less buttons comm "
D,Task,"Functions . "
A,Task,"this would definitely be a good way of selling more . "
B,Minor,"Okay . "
A,Elicit,"Okay . "
A,Minor,"So "
C,Minor,"Mm okay . "
C,Elicit,"And just to have uh an idea comm do you think you as the User Interface Designer to would it be possible to have less buttons and still have the same functionality and to have powerful remote control comm you think it's possible ? "
D,Minor,"Yeah . "
C,Elicit,"Sure ? Yeah ? "
D,Task,"Yeah comm I think possible . "
D,Task,"Because we can We can uh mix uh several function in one button . "
C,Minor,"Yeah . "
D,Task,"So lets you then you have less buttons . "
C,Task,"Yeah comm "
C,Elicit,"but do you think it will be easy to use ? "
D,Minor,"But I'm not sure "
C,Task,"Because if you have many functions just for one button it would be quite difficult for the user to know . "
A,Task,"Yeah comm "
A,Task,"remember "
A,Task,"the user is not happy to read the "
C,Task,"Yeah comm "
B,Task,"The manuals . "
C,Minor,"I think the "
A,Task,"manual . "
A,Minor,"It's "
D,Task,"No "
D,Task,"you you can have a switch menu comm "
D,Minor,"so you can "
C,Task,"Yeah comm "
D,Minor,"well "
C,Task,"but it has to be intuitive . "
D,Minor,"for example "
D,Task,"Yeah comm I think so . "
D,Task,"Like for for example you can uh you can category the function i i into several classes . "
D,Task,"Then for um you can have a switch menu comm "
D,Task,"so you put the switch menu to it it tend to this kind of this category of functions . "
C,Other,"Yeah comm okay . "
C,Other,"Okay comm "
D,Task,"Then you you put the switch button comm "
C,Minor,"but "
D,Task,"then it "
D,Task,"switch to another category of functions . Yeah . "
D,Task,"For example comm if you have remote control you you can rem you can control your T_V_ "
D,Task,"and also you can control your uh recorder . "
B,Minor,"With a "
D,Task,"So there's a different functions comm "
D,Task,"but i if you you there's a button you can switch between control T_V_ and control your recorder . "
D,Task,"So we can has less buttons . "
C,Minor,"Yeah comm "
D,Task,"But what I'm not so sure is about how to make the remote control look funny look fancy comm not funny . "
C,Minor,"but "
B,Task,"Look fancy . "
B,Task,"This is a question that should be asked to the If you ask the people comm maybe the the marketing people . "
D,Task,"Because different people have a different opinion about fancy . You know . "
A,Minor,"Yeah . "
A,Task,"Yeah comm "
A,Minor,"this is something we sh "
D,Task,"Because maybe a colourful is fancy for some people comm "
D,Task,"but maybe simple and uh uniform colourful is fancy for some for other peoples comm so . "
C,Minor,"Mm-hmm . "
A,Minor,"But this was first step and "
A,Task,"This was the first step comm yeah . "
B,Task,"I think the solution is to have many colours of you know instead of having one grey standard "
C,Task,"Yeah comm "
C,Task,"but I think it will increase the price of the production of the remote control . "
A,Task,"Specially distribution comm yeah . "
B,Task,"Yeah comm yeah comm maybe . Yeah comm maybe . "
C,Task,"If you need to have special colours for remote controls it will cost more . "
A,Minor,"Uh "
D,Task,"Yeah comm personalised colour . Because you know "
C,Task,"Yeah comm it will cost little bit more . "
D,Minor,"Yeah comm "
D,Task,"because maybe some people prefer a red remote control comm "
B,Minor,"Yeah comm yeah comm yeah . "
D,Task,"some people prefer black remote control . "
A,Task,"Yeah comm "
A,Task,"but this is what we would ask to the users comm so . "
C,Minor,"And also f "
D,Task,"Maybe we can have di di we can have uh several options comm "
A,Minor,"Yeah . "
D,Task,"so user can select which colour they prefer comm so . "
C,Minor,"Yeah comm "
C,Task,"but as soon as you speak about options comm it means that the price increases comm "
D,Minor,"Mm-hmm . "
A,Task,"Yeah comm "
A,Task,"remember it's twelve Euros . "
C,Task,"and we don't really want the price to be too too high comm "
C,Task,"because we wanna be able to produce it . "
C,Minor,"So comm "
C,Task,"we want something fancy comm "
C,Task,"as uh previously said comm Florent comm "
C,Task,"something very easy to use comm powerful "
C,Task,"and also as uh it's written here comm "
C,Task,"seventy five percent of users comm they zap lot comm "
C,Task,"so maybe just having many functions in one button is not that good if you want to zap a lot . "
D,Minor,"Mm-hmm . "
A,Minor,"Hmm . "
C,Task,"And they don't really want to zap between functions of their remote control comm "
D,Minor,"Mm-hmm . "
C,Task,"they want to zap between channels on T_V_ . "
C,Minor,"So "
C,Task,"I think you have quite lot of points to to think about "
B,Task,"Yeah . "
C,Task,"and to discuss it with uh the other members . "
B,Task,"Yeah comm hmm . "
D,Task,"Yeah . "
C,Minor,"So comm "
C,Elicit,"is it okay for your presentation ? "
C,Elicit,"Nothing else to to add ? "
A,Task,"Yeah comm it's done comm "
A,Task,"just yeah . If we would if we could remember like comm not too many buttons and make it look fancy comm I think it would make it . "
C,Minor,"Mm-hmm . "
C,Other,"Okay . "
C,Other,"Mm so "
C,Minor,"So comm "
A,Minor,"So . "
C,Task,"I had some "
C,Task,"new information about the product requirements comm "
C,Task,"so you will have to take care of it of it in your thinking comm in your designing of the remote control . "
C,Minor,"So "
C,Task,"the first one is that um for the designing of the remote control we don't really want to use the teletext anymore comm "
D,Minor,"Mm-hmm . "
C,Minor,"as it's something that's "
C,Minor,"It's is uh "
A,Task,"Lame comm "
C,Other,"No "
A,Minor,"or "
C,Task,"yeah comm "
C,Task,"because now everybody has internet at home comm "
D,Minor,"Mm-hmm . "
C,Task,"so it's better to use internet then teletext . "
D,Minor,"Yeah . "
C,Minor,"So comm "
C,Task,"you will have to think about it in your in in the design of your remote control comm "
B,Minor,"Yep . "
C,Task,"and also the remote control will only be used for television comm "
C,Minor,"so "
C,Minor,"for y for you your designing comm you're not you won't be uh "
C,Task,"you won't had um buttons to just to manipulate yeah to control the recorder or maybe the garage door or things like that . "
D,Task,"Control . "
D,Minor,"Mm-hmm . "
C,Minor,"It's "
A,Minor,"Mm-hmm "
C,Task,"because if we want to "
C,Task,"to do remote control "
D,Minor,"Mm . "
C,Task,"which will be used for for the television comm for the recorder comm for the camcorder and all the others comm it will become too complex "
C,Task,"and it will increase the pli the price "
C,Task,"and we can't do that . "
C,Task,"We really want to focus on the remote control for the television . "
C,Elicit,"Is it okay ? "
D,Other,"Okay . "
D,Task,"But there's balance between function and the cost . "
C,Task,"So maybe it will be easier for you to to design it comm to have very powerful and easy . "
D,Task,"Yeah . Okay . "
C,Task,"And also we want the image of the uh um real reaction be recognisable in the product comm such as the colour and s the slogan . "
D,Minor,"Mm-hmm . "
A,Minor,"Yeah . "
C,Task,"I mean that's uh if uh you want to buy a remote control and if you go in a shop and if you see the remote control you will recognise directly that s it's our product . "
D,Minor,"Mm-hm . "
A,Minor,"Mm-hmm . "
C,Task,"So you will have to use the colour of the product comm of the um um "
D,Task,"Okay . "
C,Task,"of the uh of real reaction "
D,Task,"Okay . "
B,Minor,"So . "
C,Minor,"and uh also "
A,Elicit,"So has to be yellow . "
C,Task,"Yeah . "
B,Task,"Yellow . "
C,Task,"As we say comm we put the fashion in electronics comm "
C,Task,"so it has to be a fashion remote control . Fancy comm fashion comm powerful comm easy to use . "
D,Minor,"Okay . "
D,Minor,"Mm-hmm . "
C,Task,"Require lot of requirements comm "
C,Minor,"but "
D,Minor,"Yeah . "
B,Task,"For cheap remote control comm yeah . "
D,Elicit,"And cheap . "
C,Task,"Yeah . "
D,Elicit,"A low cost . "
C,Task,"Yeah . "
C,Task,"But uh that's your your job to find something mm matches . "
B,Task,"Yeah . Yeah comm "
B,Elicit,"'cause what I'm thinking is how will you will connect the T_V_ to internet comm so . "
B,Minor,"This is "
A,Task,"I don't think it's part of the remote control design anyway . "
C,Task,"Maybe not comm "
A,Task,"It's maybe more in browsing . "
C,Minor,"but mayb "
B,Minor,"Yeah comm "
B,Task,"but this this mean that your T_V_ would be able to comm you know comm connect to internet comm you know comm surf the web . "
D,Minor,"Yeah comm "
D,Task,"there's that box in uh o of it . "
A,Minor,"Yeah . "
D,Minor,"A pi "
D,Task,"There's that box in the T_V_ comm "
D,Task,"so with the set box you you can connect internet with your T_V_ . "
B,Other,"Okay . "
D,Minor,"Ok "
A,Minor,"Hm-mm . "
D,Task,"It's It's not so uh popular now . "
B,Minor,"It's pop "
B,Task,"I don't think it's popular comm "
B,Task,"so that's the problem so . You had i if you are designing a remote control for you know "
D,Minor,"Mm . "
B,Task,"the global usage comm "
D,Task,"Global comm "
D,Task,"okay . "
B,Task,"so if people don't have the technology . "
C,Minor,"So . "
A,Other,"Mm-hmm . "
C,Elicit,"So everybody is okay with the new requirements ? "
D,Minor,"So I I so "
D,Elicit,"As as for the colour comm what what do you think ? "
C,Task,"I think it has to be yellow . "
B,Task,"Yellow ? "
C,Task,"Yeah . "
B,Task,"Do you think that people like the colour yellow ? "
D,Task,"Yellow ? T_V_ remote control ? "
A,Minor,"Min "
C,Task,"Maybe you can change the colour comm "
D,Minor,"Okay . "
C,Task,"but the image of the society has to be recognised . "
D,Minor,"Okay . "
A,Minor,"Yeah . "
B,Task,"I think if you have you know th like a yellow ribbon here is the double R_ . Or should be . "
C,Minor,"Why you go "
C,Task,"It has to be fashion . "
B,Task,"Yeah comm so . "
B,Task,"Doesn't need to be completely yellow comm "
D,Other,"Okay . "
C,Minor,"So you have to "
B,Minor,"but just mm . "
C,Minor,"Yeah . "
C,Task,"It has to be a fashion "
C,Task,"and really be uh the image of the society . "
C,Task,"Just when you enter you say oh comm oh comm it's real reaction . "
C,Task,"Think it's a re reaction remote control comm so . "
D,Minor,"Okay comm okay . "
D,Minor,"Okay . "
C,Task,"And also it has to be attractive comm of course comm "
D,Minor,"Mm . "
C,Task,"because if you want to sale to sell the remote control . "
C,Elicit,"It's okay ? "
A,Elicit,"Regarding the first line comm what So we're just expecting no more use of the teletext . "
C,Task,"Yeah . "
A,Elicit,"And that's it . "
C,Task,"Yeah . "
B,Elicit,"But I dunno comm but why comm "
B,Task,"nobody's a threat to me . "
A,Task,"It's already changed for "
C,Task,"I think it would be simpler . "
A,Minor,"Mm-hmm . "
C,Minor,"Okay . So "
C,Other,"I will close the meeting comm "
C,Task,"um just after that we'll have lunch break . "
C,Task,"And you will have in thirty minutes individual work . "
C,Minor,"Uh Y you "
C,Task,"You will have as the I_D_ I don't remember what is industr Industrial Designer to put um pon "
B,Task,"Industrial Designer comm yeah . "
A,Task,"Industrial Designer . "
B,Task,"Component component comm yeah . "
C,Other,"yeah comm "
C,Task,"and the User Interface Designer to work on the user interface concept . "
D,Task,"Okay . "
C,Task,"And Florent to work my subject . "
A,Task,"Yep . "
C,Task,"And so specific instructions will be sent to you by your personal coach . "
A,Minor,"Okay . "
C,Elicit,"It's okay ? "
A,Minor,"Yeah . "
C,Task,"I think the um session is closed . "
B,Other,"Good . "
C,Task,"And by the way comm Mister David Jordan comm please record your presentations in your own folder . Not in mine . "
B,Other,"Okay Okay comm that's clear . "
D,Task,"Okay . Okay . "
C,Task,"Should be better . "
